"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:episode:5pOgsI3B0H7CAAgdBPIgsk","1 Hour Relaxing Music for Stress Relief. Soothing Music. Meditation. Sleep Music","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","","https://i.scdn.co/image/4783bf7f536517787f60d5427ce4b2423a325d25","0","0","3611012","https://p.scdn.co/mp3-preview/9e9dd1d4c8d34b6cf5472b9fc4317463008a918e","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:02Z","","","","","","","","","","","",""
"spotify:track:0Qsl5BsHvCHcJPFTbnZaeZ","Calm Moments","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","9","210769","https://p.scdn.co/mp3-preview/862a924e926891334a3aa8a070079baeec2c5c5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:14Z","0.084","0.0114","10","-30.338","1","0.0405","0.991","0.967","0.108","0.0373","83.987","4"
"spotify:track:3htJIA8ExMRDJuniB6Nlzw","Stress Help","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","5","209805","https://p.scdn.co/mp3-preview/178b62f4a83f4ea0b8270ecd40d50e9b1ce3d581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:16Z","0.155","0.062","3","-24.597","1","0.0424","0.988","0.909","0.103","0.0349","101.605","3"
"spotify:track:2nQ6xuU5X1zWjFcyjpUYjd","Amazing Piano","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","2","182634","https://p.scdn.co/mp3-preview/c1175a0747168330476b1b9f77f56f6cab8b1d39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:18Z","0.378","0.039","2","-27.301","1","0.0467","0.986","0.957","0.126","0.17","76.255","4"
"spotify:track:4LUJuF2CsTBmfU6IiFxqmf","Calming and Relaxing Meditation Noise Loopable","spotify:artist:1rh3gyQudHPxjnTtlztnAK","Meditation Noise","spotify:album:2qHnx8mcjmIDZqdd3v6Oc1","The Noise Project – Fine Shushers Noise Based for Looping","spotify:artist:3Q614JyDSProXXN4wXYYk1","The Noise Project","2019-03-13","https://i.scdn.co/image/ab67616d0000b2739876a77c2fc002732b24d415","1","3","59000","https://p.scdn.co/mp3-preview/1cfbbc2f584e3bb9407d3ebac06058878b9816ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:20Z","0.236","0.407","10","-23.719","0","0.111","0.123","0.65","0.139","0.0323","95.007","4"
"spotify:track:3DsnsXuMY5hYorDpvhYEic","Lulling Morag Lullaby: Calming Piano","spotify:artist:2JY5qzEozvTdogkDTkkOMf","The Wiggles","spotify:album:18ivZTKdNn1xSUuOA04kgK","Calm & Quiet: Soothing Sounds for Relaxing Baby","spotify:artist:2JY5qzEozvTdogkDTkkOMf","The Wiggles","2021-07-23","https://i.scdn.co/image/ab67616d0000b2739669706ecd5e0adb69f15db8","1","14","166128","https://p.scdn.co/mp3-preview/207a0d8cbf6faebdd0a270f47072c5a7dd113bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:22Z","0.166","0.0491","2","-16.968","1","0.0384","0.897","0.864","0.11","0.031","51.838","3"
"spotify:track:6JvpZtZHvclLOH7K0gIJhQ","New Age Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","1","186585","https://p.scdn.co/mp3-preview/7f6acfebb098c1e3b1e3f7d22a6520082fd53882?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:37Z","0.246","0.051","2","-25.11","1","0.0366","0.994","0.546","0.15","0.0976","83.305","4"
"spotify:track:0EyYVykuTc7jzPGD4hpsis","Enjoy Yourself","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","15","222352","https://p.scdn.co/mp3-preview/ba4f8a627f4704d19d2648b4a5503a3185e49fca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:41Z","0.0845","0.0174","11","-34.479","1","0.0583","0.981","0.268","0.108","0.0368","73.331","5"
"spotify:track:33cbxaGn0EzYK0KPzUr8Jy","Perfect Rest","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","14","185000","https://p.scdn.co/mp3-preview/4d01f29f4c668c19b168015e724b97ddf881b63b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:42Z","0.194","0.0268","6","-29.499","0","0.0438","0.985","0.981","0.106","0.0449","120.401","5"
"spotify:track:0i5XplOHGIF9WkScmphWdF","Sweet Laziness","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","spotify:album:48gqMdN07tyzI7k5QcRLxY","Relaxing Bliss – Tranquil Peaceful Music for Rest and Relaxation","spotify:artist:4R6p5VIdRWt0nXxcmXkABr","Relaxing and Calming","2016-12-06","https://i.scdn.co/image/ab67616d0000b273c680166b9f824f78e6b62f25","1","13","203250","https://p.scdn.co/mp3-preview/43d127b62c6a8f3811c20b8927049fe6eba6e6d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:18:43Z","0.219","0.0231","0","-30.076","1","0.0422","0.986","0.973","0.151","0.0725","71.92","4"
