"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:episode:5pOgsI3B0H7CAAgdBPIgsk","1 Hour Relaxing Music for Stress Relief. Soothing Music. Meditation. Sleep Music","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","","https://i.scdn.co/image/4783bf7f536517787f60d5427ce4b2423a325d25","0","0","3611012","https://p.scdn.co/mp3-preview/9e9dd1d4c8d34b6cf5472b9fc4317463008a918e","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:19Z","","","","","","","","","","","",""
"spotify:episode:5oImH2k4VqVKoUCFDYPKKi","Study Music, Concentration, Focus, Meditation, Memory, Work Music, Relaxing Music, Study, ","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3670560","https://p.scdn.co/mp3-preview/f019d6c041369c714e7f3997f91aa7844db32700","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:22Z","","","","","","","","","","","",""
"spotify:episode:5oImH2k4VqVKoUCFDYPKKi","Study Music, Concentration, Focus, Meditation, Memory, Work Music, Relaxing Music, Study, ","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3670560","https://p.scdn.co/mp3-preview/f019d6c041369c714e7f3997f91aa7844db32700","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:24Z","","","","","","","","","","","",""
"spotify:episode:5pOgsI3B0H7CAAgdBPIgsk","1 Hour Relaxing Music for Stress Relief. Soothing Music. Meditation. Sleep Music","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","","https://i.scdn.co/image/4783bf7f536517787f60d5427ce4b2423a325d25","0","0","3611012","https://p.scdn.co/mp3-preview/9e9dd1d4c8d34b6cf5472b9fc4317463008a918e","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:26Z","","","","","","","","","","","",""
"spotify:episode:5pOgsI3B0H7CAAgdBPIgsk","1 Hour Relaxing Music for Stress Relief. Soothing Music. Meditation. Sleep Music","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","spotify:show:7iAVJ3zVTGv9omVDXrqlyG","Audice Wellness Services ","","https://i.scdn.co/image/4783bf7f536517787f60d5427ce4b2423a325d25","0","0","3611012","https://p.scdn.co/mp3-preview/9e9dd1d4c8d34b6cf5472b9fc4317463008a918e","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:28Z","","","","","","","","","","","",""
"spotify:track:11x7uYWBCzuXI4jdjbKWyE","Relaxing Music 6 - The Power Of Thoughts","spotify:artist:2ViQDZcGGoxjPKGsSudBFx","Relaxing Music","spotify:album:1hyMupRBMHtOfoEaPsMUP9","Relaxing Music (The Power Of Thoughts)","spotify:artist:2ViQDZcGGoxjPKGsSudBFx","Relaxing Music","2020-11-23","https://i.scdn.co/image/ab67616d0000b273062306667e0511b9f88d4183","1","6","32000","https://p.scdn.co/mp3-preview/1a3bfe8b22399047d2d73138dbaa32012304e52f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:34Z","0.24","0.0675","4","-22.868","0","0.0407","0.966","0.641","0.111","0.0325","125.019","5"
"spotify:episode:37pCF3sCV8oDbzZins4mYv","Beautiful Relaxing Music for Stress Relief • Meditation Music, Sleep Music, Ambient Study Music","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","spotify:show:4O9ewm6rHndbj2AiagZiUG","MEDITATION SELF","","https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf","0","0","3599544","https://p.scdn.co/mp3-preview/d13743d8a012305fc519c5a4a2c8c36c7840e54a","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:35Z","","","","","","","","","","","",""
"spotify:episode:7DttDXk5v9hi4a291ROQUB","Relaxing Music & Campfire Relaxing Guitar Music,","spotify:show:64ijNYNNSIzrNFEcXwB6YL","Relaxing music ","spotify:show:64ijNYNNSIzrNFEcXwB6YL","Relaxing music ","spotify:show:64ijNYNNSIzrNFEcXwB6YL","Relaxing music ","","https://i.scdn.co/image/ab6765630000ba8aeed95194007c1ea152762392","0","0","10952038","https://p.scdn.co/mp3-preview/a88f2da26549cb408b660c12f95b41a6981f5a7a","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:37Z","","","","","","","","","","","",""
"spotify:track:1UIIAv5BBLLYuXbk1DzipG","Study Music","spotify:artist:7rfR2Pmx3GNKyrjgMNCUEa, spotify:artist:3UDxdbAXqqKJG1pWgUgOCp, spotify:artist:0rV884TJaWtmnJf392FG6e","Study Music & Sounds, Study Alpha Waves, Binaural Beats Study Music","spotify:album:3rwflFLrRjUbIWQPWQC0I7","Study: Binaural Beats Alpha Waves Music For Reading, Focus & Relaxing Studying Music","spotify:artist:7rfR2Pmx3GNKyrjgMNCUEa, spotify:artist:3UDxdbAXqqKJG1pWgUgOCp, spotify:artist:0rV884TJaWtmnJf392FG6e","Study Music & Sounds, Study Alpha Waves, Binaural Beats Study Music","2018-12-17","https://i.scdn.co/image/ab67616d0000b2731304860cea121a9b7b8dca8e","1","1","125592","https://p.scdn.co/mp3-preview/32062dbfb65e3c5a843376cdfad91f9e41c460ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:38Z","0.183","0.00578","5","-39.154","0","0.0472","0.944","0.849","0.103","0.0366","67.932","4"
"spotify:episode:07HQ80zuAB7D0KgDNPlMFz","Relaxing Sleep Music • Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music (Flying)","spotify:show:1WTKOss6rssszbgoVh0QN0","Comforting Sounds","spotify:show:1WTKOss6rssszbgoVh0QN0","Comforting Sounds","spotify:show:1WTKOss6rssszbgoVh0QN0","Comforting Sounds","","https://i.scdn.co/image/ab6765630000ba8ab1883f829870ef95a7726ae1","0","0","10821799","https://p.scdn.co/mp3-preview/04e32c0447bd1df6b9f2b99a26cdc57ce08f68ef","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-15T08:23:39Z","","","","","","","","","","","",""
