"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4wDkM4eonFlMpw07mQxZbM","Meditation Awaken","spotify:artist:568O2cGvLWBRq81ESU0Dlw","Chakra Healing Music Academy","spotify:album:5iVlr7HTEOSDECK1ImyUoR","Genius Brain Frequency: Top 100 Chakra Healing Music","spotify:artist:568O2cGvLWBRq81ESU0Dlw","Chakra Healing Music Academy","2022-01-04","https://i.scdn.co/image/ab67616d0000b273b7a6a62e9c0744de1cb20c39","1","20","225000","https://p.scdn.co/mp3-preview/c8b81aa1bcc615bd55f693f221c50df9cefba1b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:18Z","0.134","0.0437","0","-23.311","1","0.0366","0.986","0.872","0.0884","0.0368","75.166","4"
"spotify:track:0dLkW1wbEi6nzyLQOwNCMv","Yoga Top 100","spotify:artist:3uilhWYZIH4z0KQRoywFC8, spotify:artist:38PxQFwKE257tcBkgrr9lb, spotify:artist:2XOVX4VjpCcRFCMqZ6x8m6","Yoga Training Music Ensemble, Healing Yoga Meditation Music Consort, Relaxing Zen Music Ensemble\, Nature Meditation Academy","spotify:album:2BG3DdCdDNpVOKVjnSZSs8","Anxiety Meditation and Yoga for Insecurity: Relaxation and Meditation Moments with New Age Music","spotify:artist:3uilhWYZIH4z0KQRoywFC8, spotify:artist:38PxQFwKE257tcBkgrr9lb, spotify:artist:2XOVX4VjpCcRFCMqZ6x8m6","Yoga Training Music Ensemble, Healing Yoga Meditation Music Consort, Relaxing Zen Music Ensemble\, Nature Meditation Academy","2021-09-07","https://i.scdn.co/image/ab67616d0000b273f68cbf4c6c89cbded8d41200","1","3","255384","https://p.scdn.co/mp3-preview/94cf6f214cd9c24dd060fb1599ea7e29ce55119a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:21Z","0.25","0.0905","5","-22.049","1","0.0499","0.922","0.917","0.101","0.0372","88.407","4"
"spotify:episode:6tpsPNJECk1eLbsPJgXNBR","Meditation - Naval Ravikant","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","","https://i.scdn.co/image/ab6765630000ba8a087cce32813d5dac1030e544","0","0","415056","https://p.scdn.co/mp3-preview/d4e368d097d076d8ad20156ebaeba33d16f4759f","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:23Z","","","","","","","","","","","",""
"spotify:track:1oVgCauMXygkALiOtI51M1","Yoga Top 100","spotify:artist:30u03dHVwT6ByMPQYs7e2P","Namaste Healing Yoga","spotify:album:4zH8WhBULRyaEtZOivWESO","Zen Meditation Music 111: Relaxing Flute Piano Songs with Sounds of Nature for Yoga Relaxation Meditation Sleep Well & Anxiety Stress Free","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-05-23","https://i.scdn.co/image/ab67616d0000b273f5a6377e2ae4bf5997bcd092","1","25","252512","https://p.scdn.co/mp3-preview/3eaf38cfd3e4bcc5a29acab80e5c263f05d815dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:26Z","0.225","0.0472","10","-24.113","1","0.0421","0.843","0.947","0.13","0.0534","102.475","3"
"spotify:episode:5fLpnfOalU991SfSu9r7z8","Meditation - by A Monk","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","","https://i.scdn.co/image/ab6765630000ba8a087cce32813d5dac1030e544","0","0","112941","https://p.scdn.co/mp3-preview/4242b5bdb95d22f04b56d59255f3d710b22ecd49","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:28Z","","","","","","","","","","","",""
"spotify:episode:6tpsPNJECk1eLbsPJgXNBR","Meditation - Naval Ravikant","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","spotify:show:7IG2XdnbjH3eTubEopFAuB","Self Improvement through Top 100 Books","","https://i.scdn.co/image/ab6765630000ba8a087cce32813d5dac1030e544","0","0","415056","https://p.scdn.co/mp3-preview/d4e368d097d076d8ad20156ebaeba33d16f4759f","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:31Z","","","","","","","","","","","",""
"spotify:track:2sC671jfJK3yoXUchjBjT5","Buddha Meditation","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","spotify:album:6JYMb3R96AJZLAvD14Lhkf","Meditation TOP 100: Buddha Calm & Peace, 7 Chakras Cleansing, Tibetan Chakra Balancing Music Session","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","2016-01-19","https://i.scdn.co/image/ab67616d0000b273ab20f7465e7841941b2694b0","1","1","168630","https://p.scdn.co/mp3-preview/1e65794f2b776b9230e75f76fe1a5eb5ad18ce05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:21:58Z","0.323","0.0601","11","-20.416","1","0.0429","0.0806","0.783","0.103","0.0361","113.503","5"
"spotify:track:0SlkoLU94Jb9QeuchdOXWi","Mindscape","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","spotify:album:6JYMb3R96AJZLAvD14Lhkf","Meditation TOP 100: Buddha Calm & Peace, 7 Chakras Cleansing, Tibetan Chakra Balancing Music Session","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","2016-01-19","https://i.scdn.co/image/ab67616d0000b273ab20f7465e7841941b2694b0","1","2","189806","https://p.scdn.co/mp3-preview/443450b491de8e8c34502d4d0792d120c463461c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:22:18Z","0.389","0.133","9","-21.898","1","0.0492","0.981","0.39","0.11","0.174","124.294","4"
"spotify:track:0SlkoLU94Jb9QeuchdOXWi","Mindscape","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","spotify:album:6JYMb3R96AJZLAvD14Lhkf","Meditation TOP 100: Buddha Calm & Peace, 7 Chakras Cleansing, Tibetan Chakra Balancing Music Session","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","2016-01-19","https://i.scdn.co/image/ab67616d0000b273ab20f7465e7841941b2694b0","1","2","189806","https://p.scdn.co/mp3-preview/443450b491de8e8c34502d4d0792d120c463461c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:22:37Z","0.389","0.133","9","-21.898","1","0.0492","0.981","0.39","0.11","0.174","124.294","4"
"spotify:track:4N0V2ATgQAWZM4mqzv3gUL","Drifting Spirit: Journey to Peace","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","spotify:album:6JYMb3R96AJZLAvD14Lhkf","Meditation TOP 100: Buddha Calm & Peace, 7 Chakras Cleansing, Tibetan Chakra Balancing Music Session","spotify:artist:4FD6Q9i4uAwn5PEwirPyJ3","Buddha Music Sanctuary","2016-01-19","https://i.scdn.co/image/ab67616d0000b273ab20f7465e7841941b2694b0","1","5","205609","https://p.scdn.co/mp3-preview/e14e3887a96a241a267ffacd9526b126cffef688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:22:38Z","0.293","0.383","6","-27.497","0","0.746","0.913","0.271","0.201","0.0802","107.068","3"
