"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7nnbK58Id1yzKSnQC6rhbP","Sweet Sounds of Nature","spotify:artist:3hZHxeM2eiBdb5vEaS5o1F","Kistaro","spotify:album:3uyBleEQpXj0SdVRJNU0fZ","Asian Meditation Music - 2 Hour Zen Oriental Songs for Tai Chi, Relaxation and Massage","spotify:artist:3hZHxeM2eiBdb5vEaS5o1F","Kistaro","2016-08-13","https://i.scdn.co/image/ab67616d0000b273585dd845a30396765ac1ba2f","1","2","333999","https://p.scdn.co/mp3-preview/dcf5c46b8e4dd0e83d106533d7dfa63fb55f023a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:22Z","0.0818","0.0883","10","-27.977","1","0.0373","0.906","0.945","0.112","0.0377","83.564","1"
"spotify:track:1ogHkWPZhs9oxKytU4Dqdl","Fix Your Emotions","spotify:artist:6IpJUR8BQ9dM7ohJlzeWsv","Dream Institute","spotify:album:2InqDdQAABuwjPg9KCXFMu","A Serene Evenings Rest","spotify:artist:6IpJUR8BQ9dM7ohJlzeWsv","Dream Institute","2018-07-18","https://i.scdn.co/image/ab67616d0000b2731d009792513c65062fcd94cd","1","5","100000","https://p.scdn.co/mp3-preview/ba2e6d2fe386c8e85cc5eeb8c23c019b1621ba36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:22Z","0.257","0.0117","7","-36.11","1","0.0386","0.916","0.934","0.113","0.16","66.687","3"
"spotify:track:36f8eD9ieJZMAhkAtMSh91","Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","4","401000","https://p.scdn.co/mp3-preview/b3810da0b06bca20cceb78dc259e97b1ccc2c629?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:22Z","0.127","0.056","0","-25.718","0","0.0447","0.718","0.751","0.112","0.0362","97.648","1"
"spotify:track:6VniqGnV63viiII0XMlluP","Repel Anxiety","spotify:artist:6IpJUR8BQ9dM7ohJlzeWsv","Dream Institute","spotify:album:2InqDdQAABuwjPg9KCXFMu","A Serene Evenings Rest","spotify:artist:6IpJUR8BQ9dM7ohJlzeWsv","Dream Institute","2018-07-18","https://i.scdn.co/image/ab67616d0000b2731d009792513c65062fcd94cd","1","1","133041","https://p.scdn.co/mp3-preview/186e1c416006018cdca3d2a3ac790420332191d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:22Z","0.427","0.0649","9","-23.58","1","0.0317","0.99","0.885","0.0967","0.0695","78.974","3"
"spotify:track:49qKyd8mrkHqPUh3Br5j1V","涙活","spotify:artist:2SZI38D690aWOZeqfIBHG7","ストレス解消","spotify:album:0ZlM1yrDkvqAzJ70oOnoXE","ストレス軽減:不安をなくす・心を落ち着かせる・天然音","spotify:artist:2SZI38D690aWOZeqfIBHG7","ストレス解消","2021-07-24","https://i.scdn.co/image/ab67616d0000b2737673bbce2c8c90d799a9bb68","1","12","218991","https://p.scdn.co/mp3-preview/a1c39880d0494c4243734f4c7b7310bf66164ffd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:22Z","0.292","0.06","0","-21.567","1","0.0398","0.918","0.144","0.0757","0.0688","98.735","4"
"spotify:track:6WHXmaPnNKvSUcAzY6xJY7","Floating Yogis","spotify:artist:2EefxGBjKXOmKIBcDQjKmA","Yogi Zone","spotify:album:1xEzk3h3wTEJgmHgNEzvlb","Yogis - New Age Yoga Meditation and Relaxation Music","spotify:artist:2EefxGBjKXOmKIBcDQjKmA","Yogi Zone","2019-06-26","https://i.scdn.co/image/ab67616d0000b27338853c141cf18949a5a76c2d","1","6","214967","https://p.scdn.co/mp3-preview/88c5f800106eea12284e8651219c655fc9895b49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.185","0.0793","4","-28.237","1","0.0364","0.889","0.97","0.11","0.0383","69.251","4"
"spotify:track:0mO0tpkrzt5x2HVetd0lqx","Lotus Relaxation","spotify:artist:4zeennNtgnj44Scj4FwfIU","Pace Interiore","spotify:album:7l2E94oqbqbIiy8UnbrEFd","Giardino Zen di Pace - Onde sonore benefiche con suoni della natura","spotify:artist:4zeennNtgnj44Scj4FwfIU","Pace Interiore","2019-05-29","https://i.scdn.co/image/ab67616d0000b273b1dee5d8f1a300117bd7375c","1","2","395999","https://p.scdn.co/mp3-preview/0c4cd13bf574d7f361ab41cb4f8d1e9830c336e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.391","0.323","4","-17.156","1","0.415","0.891","0.0000284","0.0636","0.0468","72.232","3"
"spotify:track:3bUDGFt0tjyFfoSzST9kpl","Floating","spotify:artist:5zZodOWlMQPEfpohMgFrRM","Sleep Music","spotify:album:7nwc8SPCIskZXkU4HlHpvQ","2021 Float Away Relaxation","spotify:artist:5zZodOWlMQPEfpohMgFrRM","Sleep Music","2021-06-07","https://i.scdn.co/image/ab67616d0000b27350bce65073e1e2b9c15732b0","1","2","206726","https://p.scdn.co/mp3-preview/cf7b1fb6202d62446dd58d59c9abac67319bcdd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.224","0.149","9","-27.122","1","0.0463","0.526","0.878","0.109","0.036","84.842","4"
"spotify:track:2GnYG9wutbvAFUWkY82aLW","Everyday Relief","spotify:artist:6kvpCsnvPSz5xvPtNjJILk","Gentle Experience","spotify:album:2Ae5yvpp73KNAJVX4FsawH","Increase your Energy: Everyday Relief, Calm Yoga & Meditation Music, Boost your Balance and Happiness","spotify:artist:6kvpCsnvPSz5xvPtNjJILk","Gentle Experience","2018-02-12","https://i.scdn.co/image/ab67616d0000b273918b53a9b6bef61ed5b47d23","1","2","253000","https://p.scdn.co/mp3-preview/f58708752fe8b629a783a0fd01992fb1efe65bd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.174","0.162","8","-16.499","1","0.0418","0.989","0.981","0.132","0.0355","120.006","4"
"spotify:track:33U1Mvd5pUYkyrzf3oQKwc","Exaltación","spotify:artist:5R7pZ9zJ55KUhYXOKMXLR4","Música De Relajación Para Dormir Profundamente","spotify:album:4vlSHjLJNZ7iUU7pCnmH8N","Música en Bucle para Dormir Profundamente","spotify:artist:5R7pZ9zJ55KUhYXOKMXLR4","Música De Relajación Para Dormir Profundamente","2019-03-07","https://i.scdn.co/image/ab67616d0000b2738e58583d3108e2547218d017","1","14","244412","https://p.scdn.co/mp3-preview/05c3e2815432f0bb7289dab609b4ba9af8c12853?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.161","1","7","-20.663","1","0.0527","0.856","0.36","0.945","0.00001","83.324","3"
