"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6eWyxIE8dwYuvUXiwaCAyj","Meditation Music, Pt. 1","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","1","34299","https://p.scdn.co/mp3-preview/e1b988fbcbb9f8ec1a48aed7944ca3c0c02ab4db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:17Z","0.266","0.0223","0","-37.351","0","0.0381","0.99","0.873","0.105","0.201","48.415","4"
"spotify:track:3fzaWXGiAsP7L7H5us3NA0","Meditation Music, Pt. 3","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","3","34727","https://p.scdn.co/mp3-preview/1e9a26dd47d425ba98c96757c3b605651cac8f68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:21Z","0.198","0.175","3","-30","1","0.0567","0.916","0.697","0.112","0.369","78.397","4"
"spotify:track:0qmBAGjumfDi9xE5rodQtM","Meditation Music, Pt. 4","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","4","36013","https://p.scdn.co/mp3-preview/b09b1ed49bee8a71496435c5164adeede88938fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:22Z","0.225","0.0771","3","-32.808","1","0.0478","0.953","0.942","0.109","0.305","57.263","4"
"spotify:track:58MdqGbi0KhNoCojx6l66j","Meditation Music, Pt. 6","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","6","35156","https://p.scdn.co/mp3-preview/c36f68665c87e34afad0622c3a3d8a13a5b703ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:28Z","0.176","0.054","3","-32.47","1","0.0499","0.991","0.995","0.107","0.0503","103.249","3"
"spotify:track:2RBAzWrhElrXaMJU9iQUKf","Meditation Music, Pt. 8","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","8","36013","https://p.scdn.co/mp3-preview/57c011b90997485089fddab0dc9a070d55ee85c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:29Z","0.19","0.153","3","-27.882","1","0.04","0.988","0.722","0.109","0.346","73.231","3"
"spotify:track:3AlWPJpRgIy67sGshJIaqh","Meditation Music, Pt. 10","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","10","34299","https://p.scdn.co/mp3-preview/b579c4784448ad1a148ba3dc4044ecc165bff543?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:30Z","0.13","0.0602","9","-31.577","0","0.0432","0.994","0.824","0.102","0.0381","73.49","4"
"spotify:track:3fZuaMh66Hkdh1SNQrvhjd","Meditation Music, Pt. 12","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","12","34299","https://p.scdn.co/mp3-preview/329f7c6236e9c52c0f91c669a6b2df6bb401faa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:31Z","0.171","0.087","10","-30.304","1","0.0484","0.995","0.877","0.106","0.222","64.063","3"
"spotify:track:0RZmL2MLG2dJ3YH5DQHh8U","Meditation Music, Pt. 14","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","14","36013","https://p.scdn.co/mp3-preview/8be38369c0f3e3de7cd7648e43f4063778461b66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:32Z","0.269","0.0696","0","-30.61","0","0.042","0.995","0.983","0.111","0.0335","89.468","5"
"spotify:track:5cJfmbk35wLlIBdiV2rPGT","Meditation Music, Pt. 16","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","16","36013","https://p.scdn.co/mp3-preview/30fd803cc4c34f59d38561351d4f47e99200d3a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:33Z","0.135","0.23","0","-24.658","0","0.0479","0.994","0.838","0.118","0.124","143.708","3"
"spotify:track:4qOQW838cIKLh58pfmCgkX","Meditation Music, Pt. 18","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","spotify:album:3De7J8MolOelZu0llyssSq","Meditation Music","spotify:artist:1Xu8movuCAUTMbvdgMEA7j","Sleepy Whale","2021-12-16","https://i.scdn.co/image/ab67616d0000b273cf25cc99b52df45f8a15f6ba","1","18","34299","https://p.scdn.co/mp3-preview/83cdd824aad2b44b93fb7a82eac1aeaa4d1af332?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T08:53:34Z","0.23","0.151","3","-27.381","1","0.05","0.987","0.988","0.104","0.104","46.3","3"
